SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,moymPerGr1t3_22,moymPerGrkt5_22,moymGr1t3_22,moymGrkt5_22,evicRate,schoolType
101,John Adams Elementary,2017-2018,41,,2017,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,48.8027088598223,Elementary School
101,John Adams Elementary,2018-2019,39,965,2018,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,46.4220889154407,Elementary School
101,John Adams Elementary,2019-2020,10,,2019,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,11.9030997219079,Elementary School
101,John Adams Elementary,2020-2021,10,,2020,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,11.9030997219079,Elementary School
101,John Adams Elementary,2021-2022,18,,2021,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,21.4255794994342,Elementary School
101,John Adams Elementary,2022-2023,22,2600.62857142857,2022,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,26.1868193881973,Elementary School
101,John Adams Elementary,2023-2024,38,3180.79,2023,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,45.23177894325,Elementary School
101,John Adams Elementary,2024-2025,28,2293.02913043478,2024,840.1173,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21,33.3286792213421,Elementary School
103,Allen Charter,2017-2018,11,,2017,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,53.2827502424365,Elementary School
103,Allen Charter,2018-2019,13,,2018,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,62.9705230137886,Elementary School
103,Allen Charter,2019-2020,10,,2019,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,48.4388638567605,Elementary School
103,Allen Charter,2020-2021,25,,2020,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,121.097159641901,Elementary School
103,Allen Charter,2021-2022,20,,2021,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,96.8777277135209,Elementary School
103,Allen Charter,2022-2023,21,4871.33333333333,2022,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,101.721614099197,Elementary School
103,Allen Charter,2023-2024,42,2127.78148148148,2023,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,203.443228198394,Elementary School
103,Allen Charter,2024-2025,20,2479.75642857143,2024,206.4458,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23,96.8777277135209,Elementary School
104,Anderson Elementary,2017-2018,32,,2017,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,90.0304246566324,Elementary School
104,Anderson Elementary,2018-2019,32,,2018,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,90.0304246566324,Elementary School
104,Anderson Elementary,2019-2020,19,,2019,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,53.4555646398755,Elementary School
104,Anderson Elementary,2020-2021,19,,2020,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,53.4555646398755,Elementary School
104,Anderson Elementary,2021-2022,27,,2021,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,75.9631708040336,Elementary School
104,Anderson Elementary,2022-2023,21,3983.77916666667,2022,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,59.082466180915,Elementary School
104,Anderson Elementary,2023-2024,25,2505.70944444445,2023,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,70.3362692629941,Elementary School
104,Anderson Elementary,2024-2025,39,4510.6809375,2024,355.4354,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16,109.724580050271,Elementary School
105,Arcadia Park Elementary,2017-2018,15,,2017,986.8369,0.0922330097087379,0.0805687203791469,0.08,0.0798226164079823,19,34,18,36,0.0845070422535211,0.0591016548463357,18,25,15.2000801753562,Elementary School
105,Arcadia Park Elementary,2018-2019,24,,2018,986.8369,0.0922330097087379,0.0805687203791469,0.08,0.0798226164079823,19,34,18,36,0.0845070422535211,0.0591016548463357,18,25,24.32012828057,Elementary School
