SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,moymPerGr1t3_22,moymPerGrkt5_22,moymGr1t3_22,moymGrkt5_22
101,John Adams Elementary,7020.7559,0.182031353632449,608.9294,840.1173,1940.7051,1345.83333333333,59279.8333333333,0.00832594108563153,0.164496802972455,0.0844159814757269,0.736478119115351,4,64,861,41328,0.0444444444444444,0.0571428571428571,0.0808080808080808,0.0700280112044818,8,20,16,25,0.0516431924882629,0.0501193317422434,11,21
103,Allen Charter,2333.9238,0.188525092378766,192.9364,206.4458,641.1759,1095.8,60417.8,5.17583307561284e-05,0.145947481233106,0.038396497777691,0.813499009693461,1,282,1111,53328,0.105960264900662,0.0884353741496599,0.0344827586206897,0.0687285223367698,16,26,5,20,0.10126582278481,0.0807017543859649,16,23
104,Anderson Elementary,5891.6909,0.270466072821302,841.1623,355.4354,1461.3571,1112.2,53316.2,0.00125154223552359,0.0985015014959458,0.0552500132007944,0.844988252863028,2,344,1019,48912,0.0602409638554217,0.0870445344129555,0.0368852459016393,0.0472103004291846,15,43,9,22,0.0289256198347107,0.036117381489842,7,16
105,Arcadia Park Elementary,4761.0683,0.326896171600815,809.6821,986.8369,1392.6339,1298.5,51569.25,0.00595733944837548,0.144237481323257,0.040158634145198,0.798622275593064,4,948,1481,71088,0.0922330097087379,0.0805687203791469,0.08,0.0798226164079823,19,34,18,36,0.0845070422535211,0.0591016548463357,18,25
107,May Elementary,16313.6084,0.173550702614634,1378.9947,5906.7003,6409.401,1451.07142857143,76228,0.0774460357893598,0.0921791711023295,0.155775910374311,0.660709693141831,26,3693,1146.73684210526,55043.3684210526,0.131868131868132,0.115241635687732,0.120805369127517,0.125454545454545,36,62,36,69,0.149659863945578,0.123655913978495,44,69
108,Bayles Elementary,8419.5094,0.128958570911507,492.0813,1437.173,2914.5727,1298.5,65977.875,0.00575043006662597,0.134759395838432,0.220304178293334,0.612789398394163,14,1420,1200.91666666667,57644,0.120689655172414,0.113496932515337,0.119760479041916,0.071875,21,37,20,23,0.111111111111111,0.117647058823529,19,40
109,Blair Elementary,4314.1759,0.215910946051133,138.5842,618.3951,1232.0506,1301.2,47245.4,0.0292123462096202,0.288118247566123,0.0704036198431316,0.611539274511269,2,540,1144,54912,0.104575163398693,0.090032154340836,0.103030303030303,0.104651162790698,16,28,17,36,0.0591715976331361,0.0682492581602374,10,23
110,Blanton Elementary,9693.4343,0.215417140651585,845.0758,1772.4279,3088.4337,1376,55683.5,0.0061971741016494,0.261143741387921,0.0486371997177512,0.683844589527986,7,455,899.833333333333,43192,0.0782312925170068,0.0666666666666667,0.054945054945055,0.0499040307101727,23,38,15,26,0.0411985018726592,0.0532319391634981,11,28
112,Bowie Elementary,3634.4421,0.209735546481811,224.657,1076.6944,1405.0476,1303,57453.75,0.0308557398672,0.0732167668870003,0.0866236663943553,0.791055634095808,71,1692,1294.19444444444,62121.3333333333,0.135483870967742,0.118320610687023,0.101351351351351,0.108208955223881,21,31,15,29,0.0839160839160839,0.0886524822695036,12,25
114,Bryan Elementary,5618.7668,0.262219318303084,577.8769,748.2802,1915.1076,1244.16666666667,42693.5,0.0033663258635329,0.528170434124442,0.0272574579888242,0.430863708385263,3,169,706.5,33912,0.11,0.113636363636364,0.144385026737968,0.142011834319527,22,40,27,48,0.0813953488372093,0.0914826498422713,14,29
115,Budd Elementary,2968.356,0.239991261156007,286.3254,345.7835,1009.2283,1246,53255.4,0.0123947060258271,0.243689907814292,0.0868724640844966,0.61999817407346,4,411,848,40704,0.170588235294118,0.151098901098901,0.0654761904761905,0.0729483282674772,29,55,11,24,0.0864864864864865,0.0718562874251497,16,24
116,Burnet Elementary,2447.1307,0.206410062200601,276.7559,588.6296,728.9379,1325,67928,0,0.0329119731937489,0.150193816783059,0.801695920859478,8,1528,1249,59952,0.0829875518672199,0.0765957446808511,0.0560344827586207,0.0681318681318681,20,36,13,31,0.114035087719298,0.102844638949672,26,47
117,Burleson Elementary,5532.5398,0.301470547035197,890.6538,946.8813,1572.7058,1184.6,40772.6,2.85583124047296e-06,0.343922948371741,0.0195768135278485,0.623382591843262,2,466,1380,66240,0.15929203539823,0.156908665105386,0.108695652173913,0.145021645021645,36,67,25,67,0.107296137339056,0.0946236559139785,25,44
118,Black STEAM Academy,13483.4719,0.401567425671722,2204.7525,2560.7006,4721.9427,1132.72727272727,32680.7272727273,0,0.610989688790763,0.0231809138119686,0.361383101929407,11,1607,1038.45454545455,49845.8181818182,0.229381443298969,0.222070844686649,,,89,163,,,,,,
119,Chapel Hill Elementary,7062.7296,0.0524498630104712,41.3513,880.7299,2422.3906,1905.88888888889,105197.3,0.0594680702486472,0.0657101186487445,0.319275170891436,0.543995213975062,6,1078,1351.6,64876.8,0.0743243243243243,0.0598006644518272,0.0933333333333333,0.0952380952380952,11,18,14,28,0.101694915254237,0.101538461538462,18,33
120,Caillet Elementary,8164.6265,0.177865233639285,628.0892,981.3448,2499.5305,1662,98587.4285714286,0.00600216066221768,0.0336880811388004,0.262636349623587,0.674936679589691,4,824,1476.75,70884,0.0829694323144105,0.0648769574944072,0.0294117647058824,0.0286343612334802,19,29,7,13,0.0503875968992248,0.0506072874493927,13,25
121,Carpenter Elementary,7357.397,0.202105663184955,482.7732,1056.2204,2545.7896,1218,54949.2,0.00498655978466297,0.370697911231377,0.0665068773643722,0.535457050910804,14,1568,1125.76923076923,54036.9230769231,0.263157894736842,0.202380952380952,0.197530864197531,0.175675675675676,25,34,16,26,0.306818181818182,0.30625,27,49
122,Carr Elementary,6348.493,0.17436579043247,182.7073,802.8842,1976.8992,1141.5,55226.5,0.0349597613165833,0.371820430454913,0.0368708290298186,0.534680450935364,3,597,1280,61440,0.0396039603960396,0.0531914893617021,0.1,0.0703517587939699,4,10,10,14,0.157894736842105,0.133640552995392,18,29
125,Casa View Elementary,6313.2541,0.178369123460435,275.6706,953.7118,2266.4793,1418.8,75420.2,0.0706483364894184,0.0634392808615132,0.223286751597722,0.62312730292291,4,666,1289.75,61908,0.0669642857142857,0.0777777777777778,0.0617283950617284,0.0675944333996024,15,35,15,34,0.100358422939068,0.0914179104477612,28,49
126,Central Elementary,3317.2302,0.124339727764446,173.9372,98.0498,1122.313,1004.66666666667,67931.6666666667,0.00276447501291891,0.275394423938381,0.158218775410883,0.491977795209992,3,197,917,44016,0.0547445255474453,0.0504032258064516,0.0666666666666667,0.0777537796976242,15,25,17,36,0.0705394190871369,0.0677570093457944,17,29
129,Conner Elementary,9418.5826,0.249599509803099,923.4509,3091.8539,4081.7919,1236,66417.1428571429,0.0315665013119915,0.337151706882095,0.148422704282489,0.459951850929247,20,3541,1124.94117647059,53997.1764705882,0.213114754098361,0.195171026156942,0.183520599250936,0.199203187250996,52,97,49,100,0.161290322580645,0.156424581005587,45,84
130,Cowart Elementary,5829.7119,0.16498180639081,357.5727,505.4689,1786.5288,1441,66319,0.00091944509298993,0.00101627663624338,0.0937419223066581,0.899802561426749,0,0,,,0.037037037037037,0.0424107142857143,0.0368852459016393,0.0376940133037694,9,19,9,17,0.0327868852459016,0.0280172413793103,8,13
131,Zaragoza Elementary,7437.9745,0.190466544352901,393.4886,3288.1285,4006.2826,1509.09090909091,72193.1818181818,0.0576429107144694,0.211737765436007,0.383098153939624,0.304639172936127,97,3996,1403.01587301587,67344.7619047619,0.116071428571429,0.0972222222222222,0.0891089108910891,0.0579710144927536,13,21,9,12,0.0769230769230769,0.0822510822510823,8,19
133,Jordan Elementary,2805.5782,0.261703273856348,313.321,200.264,833.1964,1186.5,57014.5,4.52669613700306e-06,0.0427039246312935,0.0563232919331922,0.799125577750782,1,66,1096,52608,0.0681818181818182,0.0641330166270784,0.0355329949238579,0.0376884422110553,15,27,7,15,0.0662983425414365,0.0489130434782609,12,18
135,DeGolyer Elementary,6980.0606,0.0192135294641998,28.3789,392.546,2515.8896,2086.33333333333,142451.5,0.0330247276076658,0.00876334798583267,0.618238300108741,0.306113989898598,3,143,2196.5,105432,0.00543478260869565,0.0140845070422535,0.0344827586206897,0.0314285714285714,1,5,6,11,0.0207253886010363,0.0177514792899408,4,6
136,Donald Elementary,3769.185,0.123852424330459,159.7196,271.6433,1009.3426,1283.75,64374.25,0.00161886455560022,0.0118561174365281,0.0578596433977106,0.927314499022998,5,37,,,0.0425531914893617,0.039426523297491,0.0699300699300699,0.0588235294117647,6,11,10,17,0.0689655172413793,0.0586206896551724,10,17
