SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,evicRate,schoolType
104,Anderson Elementary,2020-2021,14,2144.367,2020,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,37.0772334663347,Elementary School
104,Anderson Elementary,2021-2022,27,1262.4537037037,2021,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,71.5060931136454,Elementary School
104,Anderson Elementary,2022-2023,19,3196.79823529412,2022,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,50.3191025614542,Elementary School
104,Anderson Elementary,2023-2024,21,2505.70944444445,2023,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,55.615850199502,Elementary School
104,Anderson Elementary,2024-2025,19,2511.76785714286,2024,377.5902,0.0368852459016393,0.0472103004291846,0.0289256198347107,0.036117381489842,9,22,7,16,50.3191025614542,Elementary School
105,Arcadia Park Elementary,2017-2018,15,1106.8,2017,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,15.4662789236171,Elementary School
105,Arcadia Park Elementary,2018-2019,24,1272.54166666667,2018,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,24.7460462777874,Elementary School
105,Arcadia Park Elementary,2019-2020,40,1080.7135,2019,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,41.2434104629789,Elementary School
105,Arcadia Park Elementary,2020-2021,37,2044.54076923077,2020,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,38.1501546782555,Elementary School
105,Arcadia Park Elementary,2021-2022,42,3350.38285714286,2021,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,43.3055809861279,Elementary School
105,Arcadia Park Elementary,2022-2023,53,4412.09156862745,2022,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,54.6475188634471,Elementary School
105,Arcadia Park Elementary,2023-2024,41,3882.62821428571,2023,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,42.2744957245534,Elementary School
105,Arcadia Park Elementary,2024-2025,39,3009.57086956522,2024,969.8519,0.08,0.0798226164079823,0.0845070422535211,0.0591016548463357,18,36,18,25,40.2123252014045,Elementary School
107,May Elementary,2017-2018,289,777.882456747405,2017,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,49.0940358204015,Elementary School
107,May Elementary,2018-2019,268,792.903134328358,2018,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,45.52664913449,Elementary School
107,May Elementary,2019-2020,244,1038.16586065574,2019,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,41.4496357791625,Elementary School
107,May Elementary,2020-2021,75,2154.53646153846,2020,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,12.7406667353983,Elementary School
107,May Elementary,2021-2022,127,2066.26507936508,2021,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,21.5741956719412,Elementary School
107,May Elementary,2022-2023,141,3378.7209375,2022,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,23.9524534625488,Elementary School
107,May Elementary,2023-2024,127,2769.73346534653,2023,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,21.5741956719412,Elementary School
107,May Elementary,2024-2025,41,2723.70424242424,2024,5886.6621,0.120805369127517,0.125454545454545,0.149659863945578,0.123655913978495,36,69,44,69,6.96489781535108,Elementary School
