SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
115,Budd Elementary,3350.8039,0.170814382781398,200.6569,390.6696,1030.3377,1103.8,52203.6,0.0117205605496639,0.239213372050808,0.0616677687405103,0.652869420379987,4,528,741.333333333333,35584,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24
116,Burnet Elementary,2638.8338,0.223527908426821,310.7065,650.2351,793.3487,1241,59588,0.00635826326008103,0.0222492602603468,0.183101451861046,0.775852348109229,7,1173,1174.14285714286,56358.8571428572,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47
117,Burleson Elementary,5842.495,0.319392571153249,1033.0708,907.8011,1548.5026,1133.4,38051.2,0,0.313387242950144,0.0165628725398995,0.653035851977623,3,508,1595,76560,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44
118,Black STEAM Academy,13501.6463,0.395382094996815,2131.8365,2461.5386,4769.6384,1016.18181818182,32845.9090909091,0,0.621578251535148,0.0246177682791172,0.347798556980418,12,1896,1004.33333333333,48208,,,,,,,,
119,Chapel Hill Elementary,7628.3942,0.0449826648968927,25.6787,901.0639,2505.4062,1649.125,104422.6,0.0565973242442033,0.0901277886242428,0.320832961149281,0.520447317733003,6,1073,1301,62448,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33
120,Caillet Elementary,8137.1515,0.176586143197653,637.6776,1008.0441,2459.65,1666.57142857143,95574.2857142857,0.0161463996338276,0.027069792174817,0.292251815638433,0.643583900336623,5,924,1361.66666666667,65360,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25
121,Carpenter Elementary,7472.6912,0.253919096777343,650.8418,1257.6974,2613.1013,1053,49890.2,4.2822591143603e-07,0.36584139861152,0.0700945731572583,0.559652578712205,14,1388,1093.41666666667,52484,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49
122,Carr Elementary,6109.0887,0.24815439330583,401.0737,929.9779,1919.038,1130.75,52180.5,0.0294364035015566,0.368235200120764,0.0189905247242522,0.572294260517121,3,597,1629,78192,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29
125,Casa View Elementary,6001.0202,0.211275659428709,342.5285,991.0201,2181.8459,1293.8,70043.2,0.0373160383629437,0.0535235325486823,0.267862221160329,0.627800236366476,5,706,1046.2,50217.6,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49
126,Central Elementary,3068.4815,0.145043892231385,184.3022,188.7699,1052.8212,1076.66666666667,65626.3333333333,0.00650158718571385,0.255773482747085,0.168738934877072,0.503979183188818,3,197,886.5,42552,0.0666666666666667,0.0777537796976242,0.0705394190871369,0.0677570093457944,17,36,17,29
